"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test login failures with invalid credentials and locked out user","1082","test_sauce_demo_negative_login[chromium-locked_out_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests","Sun Mar 02 15:55:14 GMT 2025","passed","Sun Mar 02 15:55:15 GMT 2025","","test_negative_scenarios","",""
"","2460","test_type_text_into_input[chromium]","","Sun Mar 02 15:55:00 GMT 2025","passed","Sun Mar 02 15:55:03 GMT 2025","","test_type_text_into_input","",""
"Test successful login with different valid user credentials","1090","test_login_with_success[chromium-standard_user-secret_sauce]","tests","Sun Mar 02 15:55:18 GMT 2025","passed","Sun Mar 02 15:55:19 GMT 2025","","test_positive_scenarios","",""
"Test complete end-to-end purchase flow from login to checkout","4270","test_end_2_end_scenario[chromium]","tests","Sun Mar 02 15:55:08 GMT 2025","passed","Sun Mar 02 15:55:13 GMT 2025","","test_end_2_end_scenario","",""
"Test successful login with different valid user credentials","1062","test_login_with_success[chromium-visual_user-secret_sauce]","tests","Sun Mar 02 15:55:29 GMT 2025","passed","Sun Mar 02 15:55:30 GMT 2025","","test_positive_scenarios","",""
"","1256","test_click[chromium]","","Sun Mar 02 15:54:34 GMT 2025","passed","Sun Mar 02 15:54:35 GMT 2025","","test_click","",""
"Test adding multiple items to cart and verifying cart badge count","2610","test_added_items[chromium]","tests","Sun Mar 02 15:55:16 GMT 2025","passed","Sun Mar 02 15:55:18 GMT 2025","","test_number_of_added_items","",""
"","9138","test_select[chromium]","","Sun Mar 02 15:54:42 GMT 2025","passed","Sun Mar 02 15:54:51 GMT 2025","","test_select","",""
"Test successful login with different valid user credentials","1088","test_login_with_success[chromium-error_user-secret_sauce]","tests","Sun Mar 02 15:55:26 GMT 2025","passed","Sun Mar 02 15:55:27 GMT 2025","","test_positive_scenarios","",""
"","2584","test_has_title[chromium]","","Sun Mar 02 15:54:36 GMT 2025","passed","Sun Mar 02 15:54:38 GMT 2025","","test_example","",""
"","5207","test_example[chromium]","","Sun Mar 02 15:55:03 GMT 2025","passed","Sun Mar 02 15:55:08 GMT 2025","","test_with_codegen","",""
"Test login failures with invalid credentials and locked out user","1063","test_sauce_demo_negative_login[chromium-locked_out_user-secret_sauce-Epic sadface: Sorry, this user has been locked out.]","tests","Sun Mar 02 15:55:13 GMT 2025","passed","Sun Mar 02 15:55:14 GMT 2025","","test_negative_scenarios","",""
"","2730","test_get_started_link[chromium]","","Sun Mar 02 15:54:39 GMT 2025","passed","Sun Mar 02 15:54:41 GMT 2025","","test_example","",""
"","8695","test_type_text[chromium]","","Sun Mar 02 15:54:51 GMT 2025","passed","Sun Mar 02 15:55:00 GMT 2025","","test_type_text","",""
"Test successful login with different valid user credentials","6097","test_login_with_success[chromium-performance_glitch_user-secret_sauce]","tests","Sun Mar 02 15:55:20 GMT 2025","passed","Sun Mar 02 15:55:26 GMT 2025","","test_positive_scenarios","",""
"","14572","test_check[chromium]","","Sun Mar 02 15:54:19 GMT 2025","passed","Sun Mar 02 15:54:34 GMT 2025","","test_check","",""
"Test successful login with different valid user credentials","1082","test_login_with_success[chromium-problem_user-secret_sauce]","tests","Sun Mar 02 15:55:27 GMT 2025","passed","Sun Mar 02 15:55:29 GMT 2025","","test_positive_scenarios","",""
