"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2642","test_type_text_into_input[chromium]","","Wed Feb 26 17:25:19 GMT 2025","passed","Wed Feb 26 17:25:22 GMT 2025","","test_type_text_into_input","",""
"","1223","test_click[chromium]","","Wed Feb 26 17:24:53 GMT 2025","passed","Wed Feb 26 17:24:55 GMT 2025","","test_click","",""
"Test complete end-to-end purchase flow from login to checkout","4045","test_end_2_end_scenario[chromium]","tests","Wed Feb 26 17:25:27 GMT 2025","passed","Wed Feb 26 17:25:31 GMT 2025","","test_end_2_end_scenario","",""
"","9133","test_select[chromium]","","Wed Feb 26 17:25:01 GMT 2025","passed","Wed Feb 26 17:25:10 GMT 2025","","test_select","",""
"","8590","test_type_text[chromium]","","Wed Feb 26 17:25:10 GMT 2025","passed","Wed Feb 26 17:25:19 GMT 2025","","test_type_text","",""
"","2742","test_get_started_link[chromium]","","Wed Feb 26 17:24:58 GMT 2025","passed","Wed Feb 26 17:25:00 GMT 2025","","test_example","",""
"Test successful login with different valid user credentials","1098","test_login_with_success[chromium-standard_user-secret_sauce]","tests","Wed Feb 26 17:25:38 GMT 2025","passed","Wed Feb 26 17:25:39 GMT 2025","","test_positive_scenarios","",""
"","2428","test_has_title[chromium]","","Wed Feb 26 17:24:55 GMT 2025","passed","Wed Feb 26 17:24:57 GMT 2025","","test_example","",""
"Test successful login with different valid user credentials","1104","test_login_with_success[chromium-error_user-secret_sauce]","tests","Wed Feb 26 17:25:46 GMT 2025","passed","Wed Feb 26 17:25:47 GMT 2025","","test_positive_scenarios","",""
"Test successful login with different valid user credentials","1121","test_login_with_success[chromium-visual_user-secret_sauce]","tests","Wed Feb 26 17:25:49 GMT 2025","passed","Wed Feb 26 17:25:50 GMT 2025","","test_positive_scenarios","",""
"","5019","test_example[chromium]","","Wed Feb 26 17:25:22 GMT 2025","passed","Wed Feb 26 17:25:27 GMT 2025","","test_with_codegen","",""
"Test adding multiple items to cart and verifying cart badge count","2665","test_added_items[chromium]","tests","Wed Feb 26 17:25:35 GMT 2025","passed","Wed Feb 26 17:25:38 GMT 2025","","test_number_of_added_items","",""
"Test successful login with different valid user credentials","1083","test_login_with_success[chromium-problem_user-secret_sauce]","tests","Wed Feb 26 17:25:47 GMT 2025","passed","Wed Feb 26 17:25:48 GMT 2025","","test_positive_scenarios","",""
"","13815","test_check[chromium]","","Wed Feb 26 17:24:39 GMT 2025","passed","Wed Feb 26 17:24:53 GMT 2025","","test_check","",""
"Test login failures with invalid credentials and locked out user","2115","test_sauce_demo_negative_login[chromium-locked_out_user-wrong_password-Epic sadface: Username and password do not match any user in this service]","tests","Wed Feb 26 17:25:33 GMT 2025","passed","Wed Feb 26 17:25:35 GMT 2025","","test_negative_scenarios","",""
"Test successful login with different valid user credentials","6131","test_login_with_success[chromium-performance_glitch_user-secret_sauce]","tests","Wed Feb 26 17:25:39 GMT 2025","passed","Wed Feb 26 17:25:46 GMT 2025","","test_positive_scenarios","",""
"Test login failures with invalid credentials and locked out user","1085","test_sauce_demo_negative_login[chromium-locked_out_user-secret_sauce-Epic sadface: Sorry, this user has been locked out.]","tests","Wed Feb 26 17:25:32 GMT 2025","passed","Wed Feb 26 17:25:33 GMT 2025","","test_negative_scenarios","",""
