"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1085","Negative Scenario with user locked_out_user","tests","Sun Mar 02 16:19:42 GMT 2025","passed","Sun Mar 02 16:19:43 GMT 2025","","test_negative_scenarios","",""
"","1080","Negative Scenario with user standard_user","tests","Sun Mar 02 16:19:43 GMT 2025","passed","Sun Mar 02 16:19:44 GMT 2025","","test_negative_scenarios","",""
"","2761","test_get_started_link[chromium]","","Sun Mar 02 16:19:08 GMT 2025","passed","Sun Mar 02 16:19:10 GMT 2025","","test_example","",""
"Test adding multiple items to cart and verifying cart badge count","2641","test_added_items[chromium]","tests","Sun Mar 02 16:19:45 GMT 2025","passed","Sun Mar 02 16:19:47 GMT 2025","","test_number_of_added_items","",""
"","1087","Positive Scenario with user 'standard_user'","Sanity","Sun Mar 02 16:19:48 GMT 2025","passed","Sun Mar 02 16:19:49 GMT 2025","Feature xyz","Module X","",""
"","2576","test_has_title[chromium]","","Sun Mar 02 16:19:05 GMT 2025","passed","Sun Mar 02 16:19:07 GMT 2025","","test_example","",""
"","14505","test_check[chromium]","","Sun Mar 02 16:18:48 GMT 2025","passed","Sun Mar 02 16:19:02 GMT 2025","","test_check","",""
"","8826","test_type_text[chromium]","","Sun Mar 02 16:19:20 GMT 2025","passed","Sun Mar 02 16:19:29 GMT 2025","","test_type_text","",""
"","1469","test_click[chromium]","","Sun Mar 02 16:19:03 GMT 2025","passed","Sun Mar 02 16:19:04 GMT 2025","","test_click","",""
"","9347","test_select[chromium]","","Sun Mar 02 16:19:11 GMT 2025","passed","Sun Mar 02 16:19:20 GMT 2025","","test_select","",""
"","4164","End 2 End Scenario","tests","Sun Mar 02 16:19:38 GMT 2025","passed","Sun Mar 02 16:19:42 GMT 2025","","test_end_2_end_scenario","",""
"","1111","Positive Scenario with user 'problem_user'","Sanity","Sun Mar 02 16:19:57 GMT 2025","passed","Sun Mar 02 16:19:58 GMT 2025","Feature xyz","Module X","",""
"","1126","Positive Scenario with user 'visual_user'","Sanity","Sun Mar 02 16:19:58 GMT 2025","passed","Sun Mar 02 16:19:59 GMT 2025","Feature xyz","Module X","",""
"","5054","test_example[chromium]","","Sun Mar 02 16:19:32 GMT 2025","passed","Sun Mar 02 16:19:37 GMT 2025","","test_with_codegen","",""
"","2671","test_type_text_into_input[chromium]","","Sun Mar 02 16:19:29 GMT 2025","passed","Sun Mar 02 16:19:32 GMT 2025","","test_type_text_into_input","",""
"","6107","Positive Scenario with user 'performance_glitch_user'","Sanity","Sun Mar 02 16:19:49 GMT 2025","passed","Sun Mar 02 16:19:55 GMT 2025","Feature xyz","Module X","",""
"","1110","Positive Scenario with user 'error_user'","Sanity","Sun Mar 02 16:19:55 GMT 2025","passed","Sun Mar 02 16:19:56 GMT 2025","Feature xyz","Module X","",""
